rel_path,ext,doi,isbn,converted_md,ocr_text
Review/Unreadable/2012 - Martin Lepage - Chapter 8_1.pdf - 2012 - Martin Lepage - Chapter 8_1.pdf.pdf - 2012 - Martin Lepage - Chapter 8_1.pdf - 2012 - Martin Lepage - Chapter 8_1.pdf.pdf.pdf,.pdf,10.6084/m9,,converted_ocr/Review/Unreadable/2012 - Martin Lepage - Chapter 8_1.pdf - 2012 - Martin Lepage - Chapter 8_1.pdf.pdf - 2012 - Martin Lepage - Chapter 8_1__0658c3767221.md,
Review/Unreadable/2013 - 23] ISSN 1528-0268 (print).pdf - 2013 - 23] ISSN 1528-0268 (print).pdf.pdf - 2013 - 23] ISSN 1528-0268 (print).pdf - 2013 - 23] ISSN 1528-0268 (print).pdf.pdf.pdf,.pdf,10.1002/9781444301106;10.1080/15299711003609724;10.1093/acprof:oso/978019;10.1093/acprof:oso/9780198;10.1111/j.1749;10.1558/pome;10.1558/pome.v15i1;10.7202/1007804ar,9781444301106,converted_ocr/Review/Unreadable/2013 - 23] ISSN 1528-0268 (print).pdf - 2013 - 23] ISSN 1528-0268 (print).pdf.pdf - 2013 - 23] ISSN 1528-0268 (print).pd__f0aaa5d37f56.md,
Review/Unreadable/2013 - book_chapter.docx - 2013 - book_chapter.docx.docx - 2013 - book_chapter.docx - 2013 - book_chapter.docx.docx.docx,.docx,10.3983/twc.2023.2200,,converted_ocr/Review/Unreadable/2013 - book_chapter.docx - 2013 - book_chapter.docx.docx - 2013 - book_chapter.docx - 2013 - book_chapter.docx.docx.docx.md,
Review/Unreadable/2013 - book_chapter_2.docx - 2013 - book_chapter_2.docx.docx - 2013 - book_chapter_2.docx - 2013 - book_chapter_2.docx.docx.docx,.docx,10.3983/twc.2023.2200,,converted_ocr/Review/Unreadable/2013 - book_chapter_2.docx - 2013 - book_chapter_2.docx.docx - 2013 - book_chapter_2.docx - 2013 - book_chapter_2.docx.docx.docx.md,
Review/Unreadable/2013 - book_or_monograph.pdf - 2013 - book_or_monograph.pdf.pdf - 2013 - book_or_monograph.pdf - 2013 - book_or_monograph.pdf.pdf.pdf,.pdf,,9780199730018,converted_ocr/Review/Unreadable/2013 - book_or_monograph.pdf - 2013 - book_or_monograph.pdf.pdf - 2013 - book_or_monograph.pdf - 2013 - book_or_monograph.pdf.pdf.pdf.md,
Review/Unreadable/2013 - journal_article.docx - 2013 - journal_article.docx.docx - 2013 - journal_article.docx - 2013 - journal_article.docx.docx.docx,.docx,10.1016/j.jfludis.2020.105826;10.1016/j.patter.2021.100205;10.1016/j.sbspro.2015.03.310;10.1017/S1742058X13000170;10.17169/fqs-12.1.1589;10.2307/3178066;10.28968/cftt.v5i1.29607;10.3389/fpsyg.2017.01148;10.3998/dcbooks.9439946.0001.001;10.3998/mpub.9708722,,converted_ocr/Review/Unreadable/2013 - journal_article.docx - 2013 - journal_article.docx.docx - 2013 - journal_article.docx - 2013 - journal_article.docx.docx.docx.md,
Review/Unreadable/2013 - journal_article.pdf - 2013 - journal_article.pdf.pdf - 2013 - journal_article.pdf - 2013 - journal_article.pdf.pdf.pdf,.pdf,10.3983/twc.2023.2200,,converted_ocr/Review/Unreadable/2013 - journal_article.pdf - 2013 - journal_article.pdf.pdf - 2013 - journal_article.pdf - 2013 - journal_article.pdf.pdf.pdf.md,
Review/Unreadable/2013 - journal_article_1.docx - 2013 - journal_article_1.docx.docx - 2013 - journal_article_1.docx - 2013 - journal_article_1.docx.docx.docx,.docx,10.3983/twc.2023.2200,,converted_ocr/Review/Unreadable/2013 - journal_article_1.docx - 2013 - journal_article_1.docx.docx - 2013 - journal_article_1.docx - 2013 - journal_article_1.docx.docx.docx.md,
Review/Unreadable/2013 - journal_article_2.docx - 2013 - journal_article_2.docx.docx - 2013 - journal_article_2.docx - 2013 - journal_article_2.docx.docx.docx,.docx,10.1002/jts.21778;10.1017/S1742058X13000283;10.1017/hyp.2019.31;10.17169/fqs-12.1.1589,,converted_ocr/Review/Unreadable/2013 - journal_article_2.docx - 2013 - journal_article_2.docx.docx - 2013 - journal_article_2.docx - 2013 - journal_article_2.docx.docx.docx.md,
Review/Unreadable/2013 - journal_article_3.pdf - 2013 - journal_article_3.pdf.pdf - 2013 - journal_article_3.pdf - 2013 - journal_article_3.pdf.pdf.pdf,.pdf,10.1002/ajmg.b.30608;10.1002/ejsp.392;10.1006/hbeh.1995.1013;10.1007/BF00986930;10.1007/s10919-006-0010-6;10.1007/s12160-009-9100-0;10.1016/S0065-2601(08)00405-X;10.1016/S0065-2601(08)00406-1;10.1016/j.brainres.2005.10.001;10.1016/j.chb.2007.01.015;10.1016/j.conb.2004.10.016;10.1016/j.jesp.2005.03.005;10.1016/j.jesp.2007.02.003;10.1016/j.jesp.2009.02.017;10.1016/j.jesp.2009.08.010;10.1016/j.jesp.2009.12.004;10.1016/j.jesp.2012.02.015;10.1016/j.neuroimage.2004.10.002;10.1016/j.physbeh.2004.01.011;10.1016/j.pnpbp.2007.08.027,9780195398700;978019539870000307;9780195398700004;9780195398700007;9780195398700009;9780195398700065;9780195398700386;9780195398700394;97801953987004868;97801953987005160;9780195398700656,converted_ocr/Review/Unreadable/2013 - journal_article_3.pdf - 2013 - journal_article_3.pdf.pdf - 2013 - journal_article_3.pdf - 2013 - journal_article_3.pdf.pdf.pdf.md,
