rel_path,abs_path,ext,size_bytes,mtime_utc,pages_total,pages_ocrd,converted_md,ocr_text,doi,isbn,status,error
Review/Unreadable/1984 - PPTC 055 Demande De Renouvellement Simplifie De Passeport Pour - 1984 - PPTC 055 Demande De Renouvellement Simplifie De Passeport Pour Adulte Pour Les Canadiens A.pdf - 1984 - PPTC 055 Demande De Renou.pdf,/mnt/d/LIBRARY/Review/Unreadable/1984 - PPTC 055 Demande De Renouvellement Simplifie De Passeport Pour - 1984 - PPTC 055 Demande De Renouvellement Simplifie De Passeport Pour Adulte Pour Les Canadiens A.pdf - 1984 - PPTC 055 Demande De Renou.pdf,.pdf,2116627,2022-01-20T18:30:18+00:00,0,,converted_ocr/Review/Unreadable/1984 - PPTC 055 Demande De Renouvellement Simplifie De Passeport Pour - 1984 - PPTC 055 Demande De Renouvellement Simpli__c24fd09bf6c0.md,,,,ok,
Review/Unreadable/1985 - job_application.pdf - 1985 - job_application.pdf.pdf - 1985 - job_application.pdf - 1985 - job_application.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/1985 - job_application.pdf - 1985 - job_application.pdf.pdf - 1985 - job_application.pdf - 1985 - job_application.pdf.pdf.pdf,.pdf,1932937,2022-01-20T18:59:20+00:00,0,,converted_ocr/Review/Unreadable/1985 - job_application.pdf - 1985 - job_application.pdf.pdf - 1985 - job_application.pdf - 1985 - job_application.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/1985 - PPTC 055 Demande De Renouvellement Simplifie De Passeport Pour - 1985 - PPTC 055 Demande De Renouvellement Simplifie De Passeport Pour Adulte Pour Les Canadiens A.pdf - 1985 - PPTC 055 Demande De Renou.pdf,/mnt/d/LIBRARY/Review/Unreadable/1985 - PPTC 055 Demande De Renouvellement Simplifie De Passeport Pour - 1985 - PPTC 055 Demande De Renouvellement Simplifie De Passeport Pour Adulte Pour Les Canadiens A.pdf - 1985 - PPTC 055 Demande De Renou.pdf,.pdf,1942170,2022-01-19T15:28:04+00:00,0,,converted_ocr/Review/Unreadable/1985 - PPTC 055 Demande De Renouvellement Simplifie De Passeport Pour - 1985 - PPTC 055 Demande De Renouvellement Simpli__55ee409f571d.md,,,,ok,
Review/Unreadable/1991 - book_chapter.docx - 1991 - book_chapter.docx.docx - 1991 - book_chapter.docx - 1991 - book_chapter.docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/1991 - book_chapter.docx - 1991 - book_chapter.docx.docx - 1991 - book_chapter.docx - 1991 - book_chapter.docx.docx.docx,.docx,56727,2026-02-17T06:10:12+00:00,0,,converted_ocr/Review/Unreadable/1991 - book_chapter.docx - 1991 - book_chapter.docx.docx - 1991 - book_chapter.docx - 1991 - book_chapter.docx.docx.docx.md,,,,ok,
Review/Unreadable/1991 - journal_article.docx - 1991 - journal_article.docx.docx - 1991 - journal_article.docx - 1991 - journal_article.docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/1991 - journal_article.docx - 1991 - journal_article.docx.docx - 1991 - journal_article.docx - 1991 - journal_article.docx.docx.docx,.docx,24248,2026-02-17T06:14:50+00:00,0,,converted_ocr/Review/Unreadable/1991 - journal_article.docx - 1991 - journal_article.docx.docx - 1991 - journal_article.docx - 1991 - journal_article.docx.docx.docx.md,,,,ok,
Review/Unreadable/1995 - manuscript.docx - 1995 - manuscript.docx.docx - 1995 - manuscript.docx - 1995 - manuscript.docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/1995 - manuscript.docx - 1995 - manuscript.docx.docx - 1995 - manuscript.docx - 1995 - manuscript.docx.docx.docx,.docx,11448,2025-04-16T03:49:26+00:00,0,,converted_ocr/Review/Unreadable/1995 - manuscript.docx - 1995 - manuscript.docx.docx - 1995 - manuscript.docx - 1995 - manuscript.docx.docx.docx.md,,,,ok,
Review/Unreadable/1995 - Martin Lepage - AMERICAN HORROR STORY V.docx - 1995 - Martin Le - 1995 - Martin Lepage - AMERICAN HORROR STORY V.docx - 1995 - Martin Lepage - AMERICAN HORROR STORY V.docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/1995 - Martin Lepage - AMERICAN HORROR STORY V.docx - 1995 - Martin Le - 1995 - Martin Lepage - AMERICAN HORROR STORY V.docx - 1995 - Martin Lepage - AMERICAN HORROR STORY V.docx.docx.docx,.docx,38819,2025-04-16T04:01:50+00:00,0,,converted_ocr/Review/Unreadable/1995 - Martin Lepage - AMERICAN HORROR STORY V.docx - 1995 - Martin Le - 1995 - Martin Lepage - AMERICAN HORROR STORY V.__122702b9da68.md,,,,ok,
Review/Unreadable/1996 - journal_article.pdf - 1996 - journal_article.pdf.pdf - 1996 - journal_article.pdf - 1996 - journal_article.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/1996 - journal_article.pdf - 1996 - journal_article.pdf.pdf - 1996 - journal_article.pdf - 1996 - journal_article.pdf.pdf.pdf,.pdf,242988,2026-02-13T14:43:38+00:00,0,,converted_ocr/Review/Unreadable/1996 - journal_article.pdf - 1996 - journal_article.pdf.pdf - 1996 - journal_article.pdf - 1996 - journal_article.pdf.pdf.pdf.md,,10.3983/twc.2023.2200,,ok,
Review/Unreadable/1998 - journal_article.docx - 1998 - journal_article.docx.docx - 1998 - journal_article.docx - 1998 - journal_article.docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/1998 - journal_article.docx - 1998 - journal_article.docx.docx - 1998 - journal_article.docx - 1998 - journal_article.docx.docx.docx,.docx,35997,2026-01-19T06:37:26+00:00,0,,converted_ocr/Review/Unreadable/1998 - journal_article.docx - 1998 - journal_article.docx.docx - 1998 - journal_article.docx - 1998 - journal_article.docx.docx.docx.md,,,9780203490198;9780415947022,ok,
Review/Unreadable/1998 - journal_article_1.docx - 1998 - journal_article_1.docx.docx - 1998 - journal_article_1.docx - 1998 - journal_article_1.docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/1998 - journal_article_1.docx - 1998 - journal_article_1.docx.docx - 1998 - journal_article_1.docx - 1998 - journal_article_1.docx.docx.docx,.docx,34855,2025-12-23T12:28:48+00:00,0,,converted_ocr/Review/Unreadable/1998 - journal_article_1.docx - 1998 - journal_article_1.docx.docx - 1998 - journal_article_1.docx - 1998 - journal_article_1.docx.docx.docx.md,,,9780203490198;9780415947022,ok,
