source,root,path,name,ext,is_dir,size,modified,topic,normalized_stem
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output,output,,True,0,2026-03-25T01:14:28.755383-04:00,pharos,output
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/skills,skills,,True,0,2026-03-31T12:26:08.166874-04:00,pharos,skills
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/archive,archive,,True,0,2026-03-25T01:14:28.395381-04:00,pharos,archive
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/artifacts,artifacts,,True,0,2026-03-25T01:15:03.815643-04:00,pharos,artifacts
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/audits,audits,,True,0,2026-04-16T01:29:45.216758-04:00,pharos,audits
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/PHAROS-NEWLOOK,PHAROS-NEWLOOK,,True,0,2026-04-16T08:58:47.879166-04:00,pharos,pharos newlook
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/fully-rounded-power-analyst,fully-rounded-power-analyst,,True,0,2026-03-31T11:41:34.374290-04:00,pharos,fully rounded power analyst
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/templates,templates,,True,0,2026-03-31T12:17:44.862910-04:00,pharos,templates
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/scripts,scripts,,True,0,2026-04-16T01:29:33.601482-04:00,pharos,scripts
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/repos,repos,,True,0,2026-03-31T04:26:38.021036-04:00,pharos,repos
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/HEPHAISTOS.md,HEPHAISTOS.md,.md,False,15863,2026-03-31T12:15:54.238899-04:00,pharos,hephaistos
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/SKILL-MAP.md,SKILL-MAP.md,.md,False,23970,2026-03-31T12:16:36.914905-04:00,pharos,skill map
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/GITHUB_DETACH_REPORT_2026-03-25.md,GITHUB_DETACH_REPORT_2026-03-25.md,.md,False,1552,2026-03-25T01:19:42.297717-04:00,pharos,github detach report 2026 03 25
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/MIGRATION_REPORT_2026-03-25.md,MIGRATION_REPORT_2026-03-25.md,.md,False,1839,2026-03-25T01:15:37.955896-04:00,pharos,migration report 2026 03 25
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/README.md,README.md,.md,False,236,2026-03-25T01:12:11.730375-04:00,pharos,readme
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/COWORKER-LINKEDIN-PROMPT.md,COWORKER-LINKEDIN-PROMPT.md,.md,False,7225,2026-04-06T20:32:05.343528-04:00,pharos,coworker linkedin prompt
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/AGENTS.md,AGENTS.md,.md,False,7278,2026-03-31T12:02:24.834802-04:00,pharos,agents
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/ORCHESTRATION.md,ORCHESTRATION.md,.md,False,16238,2026-03-31T12:16:15.122903-04:00,pharos,orchestration
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/MOVE_LOG_20260325T011428.txt,MOVE_LOG_20260325T011428.txt,.txt,False,13683,2026-03-25T01:15:03.895644-04:00,pharos,move log 20260325t011428
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/imagegen,imagegen,,True,0,2026-03-25T01:14:28.399381-04:00,pharos,imagegen
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits,architecture-audits,,True,0,2026-03-25T01:14:28.595382-04:00,pharos,architecture audits
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/tmp,tmp,,True,0,2026-03-25T01:14:28.843384-04:00,pharos,tmp
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/repo-hosting,repo-hosting,,True,0,2026-03-25T01:14:28.751384-04:00,pharos,repo hosting
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/playwright,playwright,,True,0,2026-03-25T01:14:28.399381-04:00,pharos,playwright
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits/AurorAI-20260314T174107Z-smoke-check,AurorAI-20260314T174107Z-smoke-check,,True,0,2026-03-14T13:41:07.394709-04:00,pharos,aurorai 20260314t174107z smoke check
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits/CompassAI-20260314T174204Z-smoke-test,CompassAI-20260314T174204Z-smoke-test,,True,0,2026-03-14T13:42:04.734345-04:00,pharos,compassai 20260314t174204z smoke test
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits/CompassAI-20260314T171920Z-profile-pass,CompassAI-20260314T171920Z-profile-pass,,True,0,2026-03-14T13:19:21.097764-04:00,pharos,compassai 20260314t171920z profile pass
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits/CompassAI-20260314T175154Z-smoke-test,CompassAI-20260314T175154Z-smoke-test,,True,0,2026-03-14T13:51:54.734525-04:00,pharos,compassai 20260314t175154z smoke test
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits/CompassAI-20260314T154111Z,CompassAI-20260314T154111Z,,True,0,2026-03-14T11:41:11.719076-04:00,pharos,compassai 20260314t154111z
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits/AurorAI-20260314T173844Z-test-pass,AurorAI-20260314T173844Z-test-pass,,True,0,2026-03-14T13:38:44.347620-04:00,pharos,aurorai 20260314t173844z test pass
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits/CompassAI-20260314T174238Z-smoke-test,CompassAI-20260314T174238Z-smoke-test,,True,0,2026-03-14T13:42:38.530110-04:00,pharos,compassai 20260314t174238z smoke test
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits/AurorAI-20260314T174107Z-smoke-test,AurorAI-20260314T174107Z-smoke-test,,True,0,2026-03-14T13:41:07.374709-04:00,pharos,aurorai 20260314t174107z smoke test
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits/CompassAI-20260314T174237Z-smoke-check,CompassAI-20260314T174237Z-smoke-check,,True,0,2026-03-14T13:42:38.602109-04:00,pharos,compassai 20260314t174237z smoke check
local,/home/cerebrhoe/PHAROS-SUITE,/home/cerebrhoe/PHAROS-SUITE/output/architecture-audits/CompassAI-20260314T173637Z-profile-lint-pass,CompassAI-20260314T173637Z-profile-lint-pass,,True,0,2026-03-14T13:36:38.296541-04:00,pharos,compassai 20260314t173637z profile lint pass
