source,root,path,name,ext,is_dir,size,modified,topic,normalized_stem
local,/home/cerebrhoe/output,/home/cerebrhoe/output/writing,writing,,True,0,2026-04-02T01:17:35.314313-04:00,other,writing
local,/home/cerebrhoe/output,/home/cerebrhoe/output/imagegen,imagegen,,True,0,2026-03-30T03:51:24.865045-04:00,other,imagegen
local,/home/cerebrhoe/output,/home/cerebrhoe/output/voodoo_citation_audit_round2,voodoo_citation_audit_round2,,True,0,2026-03-25T14:34:47.594717-04:00,ai_governance,voodoo citation audit round2
local,/home/cerebrhoe/output,/home/cerebrhoe/output/architecture-audits,architecture-audits,,True,0,2026-03-25T01:14:28.595382-04:00,other,architecture audits
local,/home/cerebrhoe/output,/home/cerebrhoe/output/canon_3d,canon_3d,,True,0,2026-03-26T22:34:49.933375-04:00,other,canon 3d
local,/home/cerebrhoe/output,/home/cerebrhoe/output/doc,doc,,True,0,2026-03-27T18:38:27.568445-04:00,other,doc
local,/home/cerebrhoe/output,/home/cerebrhoe/output/pdf,pdf,,True,0,2026-03-31T23:55:32.342708-04:00,other,pdf
local,/home/cerebrhoe/output,/home/cerebrhoe/output/voodoo_chicago_nb,voodoo_chicago_nb,,True,0,2026-03-25T15:14:13.049527-04:00,other,voodoo chicago nb
local,/home/cerebrhoe/output,/home/cerebrhoe/output/voodoo_citation_audit,voodoo_citation_audit,,True,0,2026-03-25T14:18:31.281292-04:00,ai_governance,voodoo citation audit
local,/home/cerebrhoe/output,/home/cerebrhoe/output/playwright,playwright,,True,0,2026-03-31T05:21:19.998782-04:00,other,playwright
local,/home/cerebrhoe/output,/home/cerebrhoe/output/paper_database,paper_database,,True,0,2026-03-29T22:26:50.661801-04:00,research_paper,paper database
local,/home/cerebrhoe/output,/home/cerebrhoe/output/speech,speech,,True,0,2026-03-12T16:15:29.577853-04:00,other,speech
local,/home/cerebrhoe/output,/home/cerebrhoe/output/pharos-rollback-2026-03-31.md,pharos-rollback-2026-03-31.md,.md,False,3398,2026-03-31T04:04:07.681839-04:00,pharos,pharos rollback 2026 03 31
local,/home/cerebrhoe/output,/home/cerebrhoe/output/writing/pharos-genesis-archive-inventory-2026-04-02.md,pharos-genesis-archive-inventory-2026-04-02.md,.md,False,19955,2026-04-02T01:17:35.314313-04:00,pharos,pharos genesis archive inventory 2026 04 02
local,/home/cerebrhoe/output,/home/cerebrhoe/output/writing/modern-magic-from-pop-song-to-queer-neopagan-practice-draft.md,modern-magic-from-pop-song-to-queer-neopagan-practice-draft.md,.md,False,57473,2026-03-30T03:48:15.959360-04:00,other,modern magic from pop song to queer neopagan practice
local,/home/cerebrhoe/output,/home/cerebrhoe/output/voodoo_citation_audit_round2/citation_audit_log.md,citation_audit_log.md,.md,False,5129,2026-03-25T14:36:55.771949-04:00,ai_governance,citation audit log
local,/home/cerebrhoe/output,/home/cerebrhoe/output/voodoo_citation_audit_round2/cleaned_reference_list.md,cleaned_reference_list.md,.md,False,923,2026-03-25T14:34:47.590717-04:00,ai_governance,cleaned reference list
local,/home/cerebrhoe/output,/home/cerebrhoe/output/voodoo_citation_audit_round2/revised_paper.md,revised_paper.md,.md,False,57242,2026-03-25T14:36:33.967751-04:00,ai_governance,paper
local,/home/cerebrhoe/output,/home/cerebrhoe/output/architecture-audits/repo-20260314T175155Z-smoke-test,repo-20260314T175155Z-smoke-test,,True,0,2026-03-14T13:51:55.458520-04:00,other,repo 20260314t175155z smoke test
local,/home/cerebrhoe/output,/home/cerebrhoe/output/architecture-audits/repo-20260314T175154Z-smoke-test,repo-20260314T175154Z-smoke-test,,True,0,2026-03-14T13:51:55.150522-04:00,other,repo 20260314t175154z smoke test
local,/home/cerebrhoe/output,/home/cerebrhoe/output/architecture-audits/manual-regression-check,manual-regression-check,,True,0,2026-03-14T13:50:22.019125-04:00,other,manual regression check
local,/home/cerebrhoe/output,/home/cerebrhoe/output/architecture-audits/audit-regression-20260314T174955Z,audit-regression-20260314T174955Z,,True,0,2026-03-14T13:49:55.879293-04:00,ai_governance,audit regression 20260314t174955z
local,/home/cerebrhoe/output,/home/cerebrhoe/output/architecture-audits/audit-regression-20260314T175021Z,audit-regression-20260314T175021Z,,True,0,2026-03-14T13:50:21.999125-04:00,ai_governance,audit regression 20260314t175021z
local,/home/cerebrhoe/output,/home/cerebrhoe/output/architecture-audits/batch-smoke-20260314T175153Z,batch-smoke-20260314T175153Z,,True,0,2026-03-25T01:14:28.611382-04:00,other,batch smoke 20260314t175153z
local,/home/cerebrhoe/output,/home/cerebrhoe/output/architecture-audits/audit-regression-20260314T174959Z,audit-regression-20260314T174959Z,,True,0,2026-03-14T13:50:00.079266-04:00,ai_governance,audit regression 20260314t174959z
