source,root,path,name,ext,is_dir,size,modified,topic,normalized_stem
local,/home/cerebrhoe/Desktop/CODEX,/home/cerebrhoe/Desktop/CODEX/skill-creator-exports-2026-03-14,skill-creator-exports-2026-03-14,,True,0,2026-03-14T07:43:53.012970-04:00,other,skill creator exports 2026 03 14
local,/home/cerebrhoe/Desktop/CODEX,/home/cerebrhoe/Desktop/CODEX/Martin-Lepage-LinkedIn-Rebuild.md,Martin-Lepage-LinkedIn-Rebuild.md,.md,False,5952,2026-03-27T14:29:10.800046-04:00,other,martin lepage linkedin rebuild
local,/home/cerebrhoe/Desktop/CODEX,/home/cerebrhoe/Desktop/CODEX/method-project-phase-results.html,method-project-phase-results.html,.html,False,21726,2026-03-28T23:27:48.076938-04:00,other,method project phase results
local,/home/cerebrhoe/Desktop/CODEX,/home/cerebrhoe/Desktop/CODEX/Martin-Lepage-Contract-Launch-Plan.md,Martin-Lepage-Contract-Launch-Plan.md,.md,False,3590,2026-03-27T14:22:14.808842-04:00,other,martin lepage contract launch plan
local,/home/cerebrhoe/Desktop/CODEX,/home/cerebrhoe/Desktop/CODEX/Martin-Lepage-Target-List.md,Martin-Lepage-Target-List.md,.md,False,4836,2026-03-27T14:22:14.816842-04:00,other,martin lepage target list
local,/home/cerebrhoe/Desktop/CODEX,/home/cerebrhoe/Desktop/CODEX/PHAROS-Bridge-Page-Copy.md,PHAROS-Bridge-Page-Copy.md,.md,False,5254,2026-03-27T15:18:49.046988-04:00,pharos,pharos bridge page
local,/home/cerebrhoe/Desktop/CODEX,/home/cerebrhoe/Desktop/CODEX/LEPAGE.AI.CV.2026.clinical-trial-coordinator.pdf,LEPAGE.AI.CV.2026.clinical-trial-coordinator.pdf,.pdf,False,4512,2026-03-27T14:13:51.712971-04:00,cv_resume,lepage ai cv 2026 clinical trial coordinator
local,/home/cerebrhoe/Desktop/CODEX,/home/cerebrhoe/Desktop/CODEX/Martin-Lepage-Cover-Letter-irb-research-ethics.docx,Martin-Lepage-Cover-Letter-irb-research-ethics.docx,.docx,False,37590,2026-03-27T14:14:30.609267-04:00,ai_governance,martin lepage cover letter irb research ethics
local,/home/cerebrhoe/Desktop/CODEX,/home/cerebrhoe/Desktop/CODEX/Martin-Lepage-Discovery-Call-Script.md,Martin-Lepage-Discovery-Call-Script.md,.md,False,1994,2026-03-27T14:22:14.812842-04:00,other,martin lepage discovery call script
local,/home/cerebrhoe/Desktop/CODEX,/home/cerebrhoe/Desktop/CODEX/Martin-Lepage-Outreach-Scripts.md,Martin-Lepage-Outreach-Scripts.md,.md,False,4161,2026-03-27T14:22:14.808842-04:00,other,martin lepage outreach scripts
